"file","type","smells","itCount","describeCount"
"test/unit/view/use-droppable-publisher/scroll-watching.spec.js","OvercommentedTest","[{""startLine"":59,""endLine"":100}]",1,1
"test/unit/view/use-droppable-publisher/scroll-watching.spec.js","OvercommentedTest","[{""startLine"":134,""endLine"":171}]",1,1
"test/unit/view/use-droppable-publisher/scroll-watching.spec.js","OvercommentedTest","[{""startLine"":173,""endLine"":215}]",1,1
"test/unit/view/use-droppable-publisher/scroll-watching.spec.js","OvercommentedTest","[{""startLine"":217,""endLine"":254}]",4,1
"test/unit/view/use-droppable-publisher/scroll-watching.spec.js","OvercommentedTest","[{""startLine"":257,""endLine"":288}]",4,1
"test/unit/health/src-file-name-convention.spec.js","ConditionalTestLogic","[{""startLine"":28,""endLine"":30}]",1,0
"test/unit/docs/content.spec.js","ConditionalTestLogic","[{""startLine"":20,""endLine"":25}]",2,0
"test/unit/view/use-droppable-publisher/is-element-scrollable.spec.js","SubOptimalAssert","[{""startLine"":21,""endLine"":21}]",5,1
"test/unit/view/use-droppable-publisher/is-element-scrollable.spec.js","SubOptimalAssert","[{""startLine"":64,""endLine"":64}]",5,1
"test/unit/view/use-droppable-publisher/is-element-scrollable.spec.js","SubOptimalAssert","[{""startLine"":70,""endLine"":70}]",5,1
"test/unit/view/use-droppable-publisher/is-element-scrollable.spec.js","SubOptimalAssert","[{""startLine"":77,""endLine"":77}]",5,1
"test/unit/view/placeholder/animated-mount.spec.js","SubOptimalAssert","[{""startLine"":42,""endLine"":42}]",3,0
"test/unit/state/middleware/responders/announcements.spec.js","ConditionalTestLogic","[{""startLine"":143,""endLine"":146}]",5,1
"test/unit/integration/drag-drop-context/error-handling/error-in-react-tree.spec.js","ConditionalTestLogic","[{""startLine"":13,""endLine"":16}]",3,0
"test/unit/integration/drag-drop-context/error-handling/error-in-react-tree.spec.js","ConditionalTestLogic","[{""startLine"":37,""endLine"":40}]",3,0
